demand_el;generation_pv_normalised;demand_heat;generation_wirtschaftsherd_normalised
1,21;0;4,740956173;0
1,21;0;4,580440123;0
1,21;0;4,746688889;0
1,21;0;4,821214198;0
1,21;0;4,907204938;0
1,21;0;4,970264815;0
1,21;0;5,039057407;0
1,21;0;5,056255556;0
1,21;0;5,010393827;0
1,21;0;4,941601235;0
1,21;0,004858949;4,867075926;0
1,21;0,008736506;4,804016049;0
1,21;0,007611222;4,769619753;0
1,21;0,004573438;4,769619753;0
1,21;0;4,804016049;0
1,21;0;4,878541358;0
1,21;0;4,987462963;0
1,21;0;5,130780864;0
1,21;0;5,308495062;0
1,21;0;5,308495062;0
1,21;0;5,469011111;0
1,21;0;5,526338272;0
1,21;0;5,606596296;0
1,21;0;5,692587037;0
1,21;0;6,013619136;0
1,21;0;6,391978395;0
1,21;0;6,71874321;0
1,21;0;6,90792284;0
1,21;0;7,097102469;0
1,21;0;7,234687654;0
1,21;0;7,366540123;0
1,21;0;7,395203704;0
1,21;0,004533949;7,337876543;0
1,21;0,03531108;7,246153086;27,77777778
1,633685056;0,078231534;7,371250009;27,77777778
1,951448848;0,074555398;7,485137207;27,77777778
2,163291376;0,04749858;7,599280112;27,77777778
2,26921264;0,031893466;7,685015145;27,77777778
2,26921264;0,011631392;7,748075022;27,77777778
2,163291376;0;7,77699431;27,77777778
1,951448848;0;7,754574861;27,77777778
1,633685056;0;7,7610747;27,77777778
1,21;0;7,710503086;0
1,21;0;7,882484568;0
1,21;0;8,060198765;0
1,21;0;8,237912963;0
1,21;0;8,409894444;0
1,21;0;8,587608642;0
1,21;0;8,662133951;0
1,21;0;8,696530247;0
1,21;0;8,736659259;0
1,21;0;8,736659259;0
1,21;0;8,742391975;0
1,21;0;8,730926543;0
1,21;0;8,719461111;0
1,21;0;8,685064815;0
1,21;0,295724432;7,957009877;0
1,21;0,492102273;6,919388272;27,77777778
1,633685056;0,612116477;6,161646922;27,77777778
1,951448848;0,626605114;5,604806342;27,77777778
2,163291376;0,549957386;5,231668384;27,77777778
2,26921264;0,453707386;5,059431195;27,77777778
2,26921264;0,324474432;5,156887367;27,77777778
2,163291376;0,165042614;5,558433199;27,77777778
1,951448848;0;6,02902733;27,77777778
1,633685056;0;6,184577786;27,77777778
1,21;0;6,288789506;0
1,21;0;6,615554321;0
1,21;0;6,948051852;0
1,21;0;7,274816667;0
1,21;0;7,607314198;0
1,21;0;7,934079012;0
1,21;0;8,409894444;0
1,21;0;8,925838889;0
1,21;0;9,441783333;0
1,21;0;9,72268642;0
1,21;0;10,00358951;0
1,21;0;10,19850185;0
1,21;0;10,39914691;0
1,21;0;10,43927593;0
1,21;0,02934375;10,28449259;0
1,21;0,006068892;10,28449259;27,77777778
1,633685056;0,075150568;10,34079692;27,77777778
1,951448848;0,230809659;10,23110819;27,77777778
2,163291376;0,171349432;10,2019332;27,77777778
2,26921264;0,5453125;9,955170701;27,77777778
2,26921264;0,117646307;10,00676515;27,77777778
2,163291376;0,024798295;10,15607147;27,77777778
1,951448848;0;10,28270264;27,77777778
1,633685056;0;10,32359877;27,77777778
1,21;0;10,30169074;0
1,21;0;10,50806852;0
1,21;0;10,72017901;0
1,21;0;10,92655679;0
1,21;0;11,13866728;0
1,21;0;11,34504506;0
1,21;0;11,37944136;0
1,21;0;11,40810494;0
1,21;0;11,43676852;0
1,21;0;11,44823395;0
1,21;0;11,45969938;0
1,21;0;11,45969938;0
1,21;0;11,4654321;0
1,21;0;11,45396667;0
